csv_line,id,type,score,chinese,requirement,status,chinese_vs_requirement,requirement_vs_code,code_refs,recommendation
12,ACACIA_SIGN,block,1,金合欢木告示牌,,consistent,中文显示“金合欢木告示牌”与 ID（Material.ACACIA_SIGN）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_SIGN。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
13,ACACIA_SLAB,block,1,金合欢木台阶,,consistent,中文显示“金合欢木台阶”与 ID（Material.ACACIA_SLAB）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_SLAB。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
14,ACACIA_STAIRS,block,1,金合欢木楼梯,,consistent,中文显示“金合欢木楼梯”与 ID（Material.ACACIA_STAIRS）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_STAIRS。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
15,ACACIA_TRAPDOOR,block,1,金合欢木活板门,,consistent,中文显示“金合欢木活板门”与 ID（Material.ACACIA_TRAPDOOR）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_TRAPDOOR。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
16,ACACIA_WOOD,block,1,金合欢木,,consistent,中文显示“金合欢木”与 ID（Material.ACACIA_WOOD）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_WOOD。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
17,ACTIVATOR_RAIL,block,1,激活铁轨,,consistent,中文显示“激活铁轨”与 ID（Material.ACTIVATOR_RAIL）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACTIVATOR_RAIL。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
18,ALLIUM,block,1,绒球葱,,consistent,中文显示“绒球葱”与 ID（Material.ALLIUM）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ALLIUM。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
19,ANDESITE,block,1,安山岩,,consistent,中文显示“安山岩”与 ID（Material.ANDESITE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ANDESITE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
20,ANDESITE_SLAB,block,1,安山岩台阶,,consistent,中文显示“安山岩台阶”与 ID（Material.ANDESITE_SLAB）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ANDESITE_SLAB。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
21,ANDESITE_STAIRS,block,1,安山岩楼梯,,consistent,中文显示“安山岩楼梯”与 ID（Material.ANDESITE_STAIRS）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ANDESITE_STAIRS。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
22,ANDESITE_WALL,block,1,安山岩墙,,consistent,中文显示“安山岩墙”与 ID（Material.ANDESITE_WALL）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ANDESITE_WALL。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
23,AZALEA,block,1,杜鹃花丛,,consistent,中文显示“杜鹃花丛”与 ID（Material.AZALEA）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.AZALEA。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
24,AZALEA_LEAVES,block,1,杜鹃树叶,,consistent,中文显示“杜鹃树叶”与 ID（Material.AZALEA_LEAVES）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.AZALEA_LEAVES。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
25,AZURE_BLUET,block,1,蓝花美耳草,,consistent,中文显示“蓝花美耳草”与 ID（Material.AZURE_BLUET）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.AZURE_BLUET。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
26,BAMBOO_BLOCK,block,1,竹块,,consistent,中文显示“竹块”与 ID（Material.BAMBOO_BLOCK）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_BLOCK。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
27,BAMBOO_BUTTON,block,1,竹按钮,,consistent,中文显示“竹按钮”与 ID（Material.BAMBOO_BUTTON）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_BUTTON。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
28,BAMBOO_DOOR,block,1,竹门,,consistent,中文显示“竹门”与 ID（Material.BAMBOO_DOOR）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_DOOR。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
29,BAMBOO_FENCE,block,1,竹栅栏,,consistent,中文显示“竹栅栏”与 ID（Material.BAMBOO_FENCE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_FENCE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
30,BAMBOO_FENCE_GATE,block,1,竹栅栏门,,consistent,中文显示“竹栅栏门”与 ID（Material.BAMBOO_FENCE_GATE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_FENCE_GATE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
31,BAMBOO_HANGING_SIGN,block,1,悬挂式竹告示牌,,consistent,中文显示“悬挂式竹告示牌”与 ID（Material.BAMBOO_HANGING_SIGN）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_HANGING_SIGN。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
32,BAMBOO_MOSAIC,block,1,竹马赛克,,consistent,中文显示“竹马赛克”与 ID（Material.BAMBOO_MOSAIC）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_MOSAIC。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
33,BAMBOO_MOSAIC_SLAB,block,1,竹马赛克台阶,,consistent,中文显示“竹马赛克台阶”与 ID（Material.BAMBOO_MOSAIC_SLAB）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_MOSAIC_SLAB。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
34,BAMBOO_MOSAIC_STAIRS,block,1,竹马赛克楼梯,,consistent,中文显示“竹马赛克楼梯”与 ID（Material.BAMBOO_MOSAIC_STAIRS）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_MOSAIC_STAIRS。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
35,BAMBOO_PLANKS,block,1,竹板,,consistent,中文显示“竹板”与 ID（Material.BAMBOO_PLANKS）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_PLANKS。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
36,BAMBOO_PRESSURE_PLATE,block,1,竹压力板,,consistent,中文显示“竹压力板”与 ID（Material.BAMBOO_PRESSURE_PLATE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_PRESSURE_PLATE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
37,BAMBOO_SIGN,block,1,竹告示牌,,consistent,中文显示“竹告示牌”与 ID（Material.BAMBOO_SIGN）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_SIGN。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
38,BAMBOO_SLAB,block,1,竹台阶,,consistent,中文显示“竹台阶”与 ID（Material.BAMBOO_SLAB）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_SLAB。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
39,BAMBOO_STAIRS,block,1,竹楼梯,,consistent,中文显示“竹楼梯”与 ID（Material.BAMBOO_STAIRS）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_STAIRS。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
40,BAMBOO_TRAPDOOR,block,1,竹活板门,,consistent,中文显示“竹活板门”与 ID（Material.BAMBOO_TRAPDOOR）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BAMBOO_TRAPDOOR。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
41,BARREL,block,1,木桶,,consistent,中文显示“木桶”与 ID（Material.BARREL）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BARREL。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
42,BASALT,block,1,玄武岩,,consistent,中文显示“玄武岩”与 ID（Material.BASALT）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BASALT。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
43,BELL,block,1,钟,,consistent,中文显示“钟”与 ID（Material.BELL）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BELL。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
44,BIG_DRIPLEAF,block,1,大型垂滴叶,,consistent,中文显示“大型垂滴叶”与 ID（Material.BIG_DRIPLEAF）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BIG_DRIPLEAF。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
45,BIRCH_BUTTON,block,1,白桦木按钮,,consistent,中文显示“白桦木按钮”与 ID（Material.BIRCH_BUTTON）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BIRCH_BUTTON。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
46,BIRCH_DOOR,block,1,白桦木门,,consistent,中文显示“白桦木门”与 ID（Material.BIRCH_DOOR）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.BIRCH_DOOR。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
